id,"kode_full","kota_kab","kecamatan","kode",reg_tariff,"reg_etd",oke_tariff,"oke_etd",yes_tariff
1,"PDG20632","Kab. Padang Pariaman","2 X 11 Kayu Tanam","PDG",45000,"3 - 6",39000,"4 - 7",NULL
2,"PLM20520","Kab. Muara Enim","Abab (Penukal Abab)","PLM",42000,"3 - 6",37000,"4 - 7",NULL
3,"DPS20101","Kab. Karangasem","Abang","DPS",35000,"3 - 6",27000,"4 - 7 ",NULL
4,"KDI10014","Kota Kendari","Abeli","KDI",50000,"2 - 3",43000,"3 - 5",NULL
5,"DJJ20712","Kab. Jayawijaya","Abenaho","DJJ",143000,"6 - 9",122000,"9 - 10",NULL
6,"DJJ10001","Kota Jayapura","Abepura","DJJ",88000,"2 - 4",75000,"4 - 6",NULL
7,"DPS21101","Kab. Badung","Abiansemal","DPS",35000,"3 - 6",27000,"4 - 7 ",NULL
8,"KDI20401","Kab. Konawe","Abuki","KDI",83000,"5 - 7",72000,"6 - 8",NULL
9,"SOQ10018","Kab. Sorong","Abun","SOQ",152000,"6 - 9",129000,"9 - 10",NULL
10,"TKG20201","Kab. Lampung Utara","Abung Barat","TKG",47000,"3 - 6",40000,"4 - 7",NULL
11,"TKG20202","Kab. Lampung Utara","Abung Selatan","TKG",47000,"3 - 6",40000,"4 - 7",NULL
12,"TKG20224","Kab. Lampung Utara","Abung Semuli","TKG",47000,"3 - 6",40000,"4 - 7",NULL
13,"TKG20225","Kab. Lampung Utara","Abung Surakarta","TKG",47000,"3 - 6",40000,"4 - 7",NULL
14,"TKG20226","Kab. Lampung Utara","Abung Tengah","TKG",47000,"3 - 6",40000,"4 - 7",NULL
15,"TKG20203","Kab. Lampung Utara","Abung Timur","TKG",47000,"3 - 6",40000,"4 - 7",NULL
16,"TKG20228","Kab. Lampung Utara","Abung Tinggi","TKG",47000,"3 - 6",40000,"4 - 7",NULL
17,"TKG21308","Kab. Tanggamus","Adi Luwih","TKG",47000,"3 - 6",40000,"4 - 7",NULL
18,"MES21001","Kab. Tapanuli Utara","Adiankoting","MES",50000,"3 - 6",43000,"4 - 7",NULL
19,"MGL10101","Kab. Kebumen","Adimulyo","MGL",30000,"3 - 6",27000,"4 - 7",NULL
20,"CXP10001","Kab. Cilacap","Adipala","CXP",23000,"3 - 6",20000,"4 - 7",NULL
21,"SRG21411","Kab. Tegal","Adiwerna","SRG",27000,"3 - 6",23000,"4 - 7",NULL
22,"MES10205","Kab. Tapanuli Tengah","Adman Dewi","MES",50000,"3 - 6",43000,"4 - 7",NULL
23,"KOE20401","Kab. Flores Timur","Adonara Barat","KOE",131000,"+ 10",NULL,"-",NULL
24,"KOE20402","Kab. Flores Timur","Adonara Timur","KOE",131000,"+ 10",NULL,"-",NULL
25,"MES22401","Kab. Tapanuli Selatan","Aek Bilah","MES",50000,"3 - 6",43000,"4 - 7",NULL
26,"MES10117","Kab. Asahan","Aek Kuasan","MES",50000,"3 - 6",43000,"4 - 7",NULL
27,"MES20713","Kab. Labuhan Batu","Aek Kuo","MES",50000,"3 - 6",43000,"4 - 7",NULL
28,"MES20701","Kab. Labuhan Batu","Aek Natas","MES",50000,"3 - 6",43000,"4 - 7",NULL
29,"KOE21401","Kab. Nagekeo","Aesesa","KOE",131000,"+ 10",NULL,"-",NULL
30,"KOE21408","Kab. Nagekeo","Aesesa Selatan","KOE",131000,"+ 10",NULL,"-",NULL
31,"MES20301","Kab. Nias","Afulu","MES",50000,"3 - 6",43000,"4 - 7",NULL
32,"DJJ20800","Kab. Asmat","Agats","DJJ",143000,"6 - 9",122000,"9 - 10",NULL
33,"TIM10001","Kab. Mimika","Agimuga","TIM",145000,"6 - 9",124000,"9 - 10",NULL
34,"DJJ21201","Kab. Paniai","Agisiga","DJJ",143000,"6 - 9",122000,"9 - 10",NULL
35,"SMI20101","Kab. Cianjur","Agrabinta","SMI",17000,"3 - 6",15000,"4 - 7",NULL
36,"SOQ20401","Kab. Sorong Selatan","Aifat","SOQ",152000,"6 - 9",129000,"9 - 10",NULL
37,"SOQ20402","Kab. Sorong Selatan","Aifat Timur","SOQ",152000,"6 - 9",129000,"9 - 10",NULL
38,"AMI20401","Kab. Lombok Timur","Aikmel","AMI",47000,"3 - 6",40000,"4 - 7",NULL
39,"SOQ10019","Kab. Sorong","Aimas","SOQ",152000,"6 - 9",129000,"9 - 10",NULL
40,"KOE20902","Kab. Ngada","Aimere","KOE",131000,"+ 10",NULL,"-",NULL
41,"MES10103","Kab. Asahan","Air Batu","MES",50000,"3 - 6",43000,"4 - 7",NULL
42,"PNK20701","Kab. Landak","Air Besar","PNK",57000,"5 - 7",49000,"6 - 8",NULL
43,"BKS20105","Kab. Bengkulu Utara","Air Besi","BKS",47000,"3 - 6",40000,"4 - 7",NULL
44,"AMQ20301","Kab. Buru","Air Buaya / Buru Utara Barat","AMQ",170000,"+ 10",NULL,"-",NULL
45,"PGK10503","Kab. Bangka Selatan","Air Gegas","PGK",43000,"3 - 6",37000,"4 - 7",NULL
46,"DJB20401","Kab. Kerinci","Air Hangat","DJB",42000,"3 - 6",37000,"4 - 7",NULL
47,"DJB20411","Kab. Kerinci","Air Hangat Timur","DJB",42000,"3 - 6",37000,"4 - 7",NULL
48,"MES10102","Kab. Asahan","Air Joman","MES",50000,"3 - 6",43000,"4 - 7",NULL
